Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
2015-10-27,8:00 pm,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,19187,
2015-10-27,8:00 pm,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,21957,
2015-10-27,10:30 pm,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,19596,
2015-10-28,7:30 pm,Utah Jazz,87,Detroit Pistons,92,Box Score,,18434,
2015-10-28,8:00 pm,Denver Nuggets,105,Houston Rockets,85,Box Score,,18240,
2015-10-28,7:30 pm,Charlotte Hornets,94,Miami Heat,104,Box Score,,19724,
2015-10-28,7:30 pm,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,18624,
2015-10-28,10:30 pm,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,18997,
2015-10-28,8:00 pm,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,18119,
2015-10-28,7:30 pm,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,17732,
2015-10-28,8:00 pm,New York Knicks,122,Milwaukee Bucks,97,Box Score,,18717,
2015-10-28,8:00 pm,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,18203,
2015-10-28,10:00 pm,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,17458,
2015-10-28,7:30 pm,Indiana Pacers,99,Toronto Raptors,106,Box Score,,19800,
2015-10-28,7:00 pm,Washington Wizards,88,Orlando Magic,87,Box Score,,18846,
2015-10-28,10:00 pm,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,18055,
2015-10-28,10:00 pm,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,19393,
2015-10-29,7:00 pm,Memphis Grizzlies,112,Indiana Pacers,103,Box Score,,18165,
2015-10-29,10:30 pm,Dallas Mavericks,88,Los Angeles Clippers,104,Box Score,,19218,
2015-10-29,8:00 pm,Atlanta Hawks,112,New York Knicks,101,Box Score,,19812,
2015-10-30,7:00 pm,Miami Heat,92,Cleveland Cavaliers,102,Box Score,,20562,
2015-10-30,7:30 pm,Chicago Bulls,94,Detroit Pistons,98,Box Score,OT,16035,
2015-10-30,8:00 pm,Charlotte Hornets,94,Atlanta Hawks,97,Box Score,,17024,
2015-10-30,9:30 pm,Golden State Warriors,112,Houston Rockets,92,Box Score,,18142,
2015-10-30,7:30 pm,Toronto Raptors,113,Boston Celtics,103,Box Score,,16898,
2015-10-30,9:00 pm,Minnesota Timberwolves,95,Denver Nuggets,78,Box Score,,17660,
2015-10-30,10:30 pm,Portland Trail Blazers,92,Phoenix Suns,110,Box Score,,18055,
2015-10-30,10:00 pm,Los Angeles Lakers,114,Sacramento Kings,132,Box Score,,17391,
2015-10-30,8:30 pm,Brooklyn Nets,75,San Antonio Spurs,102,Box Score,,18418,
2015-10-30,8:00 pm,Washington Wizards,118,Milwaukee Bucks,113,Box Score,,13858,
2015-10-30,7:00 pm,Oklahoma City Thunder,139,Orlando Magic,136,Box Score,2OT,18846,
